"","V1","V2","V3","V4","V5"
"GATA1",1,NA,NA,NA,0
"KRTAP12-3",1,NA,NA,NA,0
"AVPR2",1,NA,1,NA,0
"MC1R",1,NA,NA,NA,0
"DSCR9",1,NA,NA,NA,0
"SNORA5B",1,NA,NA,NA,0
"KRTAP5-7",1,NA,NA,NA,0
"OTOP3",1,NA,NA,NA,0
"LOC574538",1,NA,NA,NA,0
"SYNDIG1L",1,NA,NA,NA,0
"KLF14",1,NA,NA,NA,0
"OR6B3",1,NA,NA,NA,0
"LINC01686",1,NA,NA,NA,0
"LINC00656",1,NA,NA,NA,0
"TMOD4",1,NA,NA,NA,0
"DRD5",1,NA,-1,NA,1
"SOX14",1,NA,NA,NA,0
"CLK2P1",1,NA,NA,NA,0
"NOTCH4",1,NA,NA,NA,0
"GAS8-AS1",1,NA,NA,NA,0
"USP17L8",1,NA,NA,NA,0
"TNNC2",1,NA,NA,NA,0
"GNRHR2",1,NA,NA,NA,0
"SLC4A9",1,NA,NA,NA,0
"SOX1",1,NA,NA,NA,0
"DYNLT4",1,NA,NA,NA,0
"GOLGA6D",1,NA,NA,NA,0
"MST1R",1,NA,NA,NA,0
"CHRNE",1,NA,NA,NA,0
"TOLLIP-DT",1,NA,NA,NA,0
"NKX6-2",1,1,1,-1,1
"FBXW4P1",1,NA,NA,NA,0
"KRTAP5-10",1,NA,NA,NA,0
"ADAMTSL5",1,NA,NA,NA,0
"NR2E3",1,NA,NA,NA,0
"SLC35G5",1,NA,NA,NA,0
"FTCD",1,-1,NA,NA,1
"KLHL17",1,NA,NA,NA,0
"P2RY4",1,NA,NA,NA,0
"TOP1P2",1,NA,NA,NA,0
"KRTAP10-9",1,NA,NA,NA,0
"KRTAP5-4",1,NA,NA,NA,0
"MYL11",1,NA,NA,NA,0
"KLLN",1,NA,NA,NA,0
"LINC01089",1,NA,NA,NA,0
"OR10H5",1,NA,NA,NA,0
"GRK4",1,NA,NA,NA,0
"CDC42EP2",1,-1,-1,NA,1
"IL11",1,-1,-1,NA,1
"LOC100507634",1,NA,NA,NA,0
"FAM138C",1,NA,NA,NA,0
"HYAL3",1,NA,NA,NA,0
"C17orf107",1,NA,NA,NA,0
"PWAR4",1,NA,NA,NA,0
"FGF16",1,NA,NA,NA,0
"KLK5",1,NA,1,NA,0
"HTR1D",1,NA,NA,NA,0
"TSPY26P",1,NA,NA,NA,0
"ZFR2",1,NA,NA,NA,0
"SNORD115-23",1,NA,NA,NA,0
"KIF12",1,NA,1,NA,0
"GH2",1,NA,NA,NA,0
"CALML6",1,NA,NA,NA,0
"GABRB3",1,NA,NA,NA,0
"ZNF252P-AS1",1,NA,NA,NA,0
"SLC22A13",1,-1,NA,NA,1
"OXER1",1,NA,NA,NA,0
"KRTAP5-8",1,-1,NA,NA,1
"LINC02685",1,NA,NA,NA,0
"NRN1L",1,NA,1,NA,0
"ZIC2",1,NA,1,NA,0
"LINC00895",1,NA,NA,NA,0
"ZBED10P",1,NA,NA,NA,0
"ADCK5",1,NA,NA,NA,0
"LOC102724151",1,NA,NA,NA,0
"SUPT20HL1",1,NA,NA,NA,0
"IFNL2",1,NA,NA,NA,0
"KRTAP12-2",1,NA,NA,NA,0
"100133331",1,NA,NA,NA,0
"C20orf141",1,NA,NA,NA,0
"PSORS1C3",1,NA,NA,NA,0
"NPAS4",1,NA,-1,NA,1
"RDH8",1,NA,NA,NA,0
"TSSK6",1,NA,NA,NA,0
"OBP2B",1,-1,NA,NA,1
"BOP1",1,-1,NA,NA,1
"LOC644189",1,NA,NA,NA,0
"SLC16A11",1,NA,NA,NA,0
"RXFP4",1,NA,NA,NA,0
"LHX3",1,NA,NA,NA,0
"TFAMP1",1,NA,NA,NA,0
"QRFP",1,NA,NA,NA,0
"MGC16025",1,NA,NA,NA,0
"USP17L1",1,NA,NA,NA,0
"HOTTIP",1,NA,NA,NA,0
"LOC105374381",1,NA,NA,NA,0
"SLC26A6",1,NA,NA,NA,0
"ATP6V0CP3",1,NA,NA,NA,0
"CCDC87",1,NA,NA,NA,0
"MIR7114",1,NA,NA,NA,0
"MAS1",1,NA,NA,NA,0
"ABHD1",1,NA,NA,NA,0
"SNORA80C",1,NA,NA,NA,0
"101929738",1,NA,NA,NA,0
"DLL3",1,NA,NA,NA,0
"KRTAP5-11",1,-1,NA,NA,1
"LOC644936",1,NA,NA,NA,0
"LCE1B",1,NA,NA,NA,0
"KRTAP2-2",1,NA,NA,NA,0
"CEBPA-DT",1,NA,NA,NA,0
"LOC100130849",1,NA,NA,NA,0
"PRM1",1,NA,NA,NA,0
"C1orf35",1,NA,NA,NA,0
"FOXD4L3",1,NA,NA,NA,0
"KRTAP10-1",1,NA,NA,NA,0
"GPR31",1,1,1,NA,0
"KRT19P2",1,NA,NA,NA,0
"KRTAP10-5",1,NA,NA,NA,0
"LINC00605",1,NA,NA,NA,0
"ROBO3",1,NA,NA,NA,0
"LOC112268432",1,NA,NA,NA,0
"ANGPTL8",1,NA,NA,NA,0
"ATOH1",1,NA,NA,NA,0
"MMP25",1,NA,-1,NA,1
"MAGEA9",1,NA,NA,NA,0
"GRIK5",1,NA,NA,NA,0
"LINC02894",1,NA,NA,NA,0
"CLDN9",1,NA,NA,NA,0
"GOLGA6L25",1,NA,NA,NA,0
"IL3",1,-1,NA,NA,1
"101928055",1,NA,NA,NA,0
"CRSP8P",1,NA,NA,NA,0
"TTLL9",1,-1,NA,NA,1
"OMP",1,-1,NA,NA,1
"LYPLA2P2",1,NA,NA,NA,0
"EPOP",1,NA,NA,NA,0
"RNF186",1,NA,NA,NA,0
"ABCB9",1,NA,NA,NA,0
"ELOA3BP",1,NA,NA,NA,0
"FLJ30679",1,NA,NA,NA,0
"RNF126P1",1,NA,NA,NA,0
"USP17L3",1,NA,NA,NA,0
"MIR1268B",1,NA,NA,NA,0
"102724865",1,NA,NA,NA,0
"KRTAP4-9",1,NA,NA,NA,0
"HOXD12",1,NA,NA,NA,0
"ELOA3P",1,NA,NA,NA,0
"CCER1",1,NA,NA,NA,0
"LOC105373369",1,NA,NA,NA,0
"MAGEA2",1,NA,NA,NA,0
"TMEM88",1,NA,NA,NA,0
"MPIG6B",1,NA,NA,NA,0
"CDKN2A-AS1",1,NA,NA,NA,0
"ISM2",1,NA,NA,NA,0
"TNIP2P1",1,NA,NA,NA,0
"USP17L4",1,NA,NA,NA,0
"IL27",1,NA,NA,NA,0
"FOXD4L1",1,NA,NA,NA,0
"LRRC10",1,NA,NA,NA,0
"STRC",1,-1,NA,NA,1
"CCL26",1,NA,NA,NA,0
"LINC02449",1,NA,NA,NA,0
"LILRA4",1,1,NA,NA,0
"KRTAP5-9",1,NA,NA,NA,0
"OR6B2",1,NA,NA,NA,0
"LOC107985201",1,NA,NA,NA,0
"CUX2",1,NA,NA,NA,0
"LSMEM2",1,NA,NA,NA,0
"GOLGA6L24",1,NA,NA,NA,0
"USP17L22",1,NA,NA,NA,0
"APC2",1,NA,NA,NA,0
"OR2Z1",1,NA,NA,NA,0
"LOC102724563",1,NA,NA,NA,0
"LOC102724197",1,NA,NA,NA,0
"LOC100533997",1,NA,NA,NA,0
"MAGEA5P",1,NA,NA,NA,0
"FGF22",1,NA,NA,NA,0
"MPC1L",1,NA,NA,NA,0
"FAM85A",1,NA,NA,NA,0
"KCNK4-CATSPERZ",1,NA,NA,NA,0
"AQP8",1,NA,NA,NA,0
"MYRF",1,NA,NA,NA,0
"OR6V1",1,NA,NA,NA,0
"SLC9A5",1,NA,NA,NA,0
"LCTL",1,NA,NA,NA,0
"TMED2-DT",1,NA,NA,NA,0
"PRODH2",1,NA,NA,NA,0
"LOC105371822",1,NA,NA,NA,0
"KRTAP16-1",1,1,NA,NA,0
"MAGEC1",1,NA,NA,NA,0
"KCNK7",1,NA,NA,NA,0
"PRR36",1,NA,NA,NA,0
"TOB2P1",1,NA,NA,NA,0
"TMEM229A",1,NA,NA,NA,0
"H1-7",1,NA,NA,NA,0
"MIR181D",1,NA,NA,NA,0
"EML2-AS1",1,NA,NA,NA,0
"OTUD6A",1,-1,NA,NA,1
"VTN",1,NA,NA,NA,0
"FLJ42627",1,NA,NA,NA,0
"HBQ1",1,NA,NA,NA,0
"EIF5AL1",1,NA,NA,NA,0
"BORCS6",1,NA,NA,NA,0
"SUV39H1",1,NA,NA,NA,0
"SPTBN5",1,NA,1,NA,0
"LSP1P3",1,NA,NA,NA,0
"GOLGA6L1",1,-1,NA,NA,1
"OR1K1",1,NA,NA,-1,1
"KCNK4",1,NA,NA,NA,0
"PTPN5",1,NA,NA,NA,0
"LOC729080",1,NA,NA,NA,0
"HTR1A",1,NA,NA,NA,0
"FBXW12",1,-1,NA,NA,1
"SLC52A1",1,NA,NA,NA,0
"POU3F4",1,NA,NA,NA,0
"INSM1",1,NA,NA,NA,0
"CELA3A",1,NA,-1,NA,1
"USP17L7",1,NA,NA,NA,0
"SNORA63",-1,NA,NA,NA,0
"TCEA2",1,NA,NA,NA,0
"107987399",1,NA,NA,NA,0
"LINC02874",1,NA,NA,NA,0
"PCDHB17P",1,NA,NA,NA,0
"NXF5",1,NA,NA,NA,0
"TEX101",1,NA,NA,NA,0
"GLTPD2",1,NA,NA,NA,0
"ANKRD33",1,NA,NA,NA,0
"LOC105378589",1,NA,NA,NA,0
"LOC646471",1,NA,NA,NA,0
"GOLGA6L26",1,NA,NA,NA,0
"RFPL3",1,-1,NA,NA,1
"STRCP1",1,NA,NA,NA,0
"GJD3",1,NA,NA,NA,0
"MGAT4EP",1,NA,NA,NA,0
"CSH2",1,NA,NA,NA,0
"ODF4",1,NA,NA,NA,0
"MIR1236",1,NA,NA,NA,0
"HPN-AS1",1,NA,NA,NA,0
"TRIM72",1,NA,NA,NA,0
"KMT2E-AS1",1,NA,NA,NA,0
"MYADML",1,NA,NA,NA,0
"OR10H2",1,NA,NA,NA,0
"SH3GL1P2",1,NA,NA,NA,0
"LOC107986800",1,NA,NA,NA,0
"HPX",1,-1,NA,NA,1
"LIPE",1,NA,NA,NA,0
"MBD3L1",1,-1,NA,NA,1
"GUCY2D",1,NA,NA,NA,0
"CEMP1",1,NA,1,NA,0
"MST1",1,NA,NA,NA,0
"KRT86",1,NA,NA,NA,0
"PIPSL",1,NA,NA,NA,0
"HSD11B2",1,-1,NA,NA,1
"DUOXA2",1,NA,NA,NA,0
"SPC24",1,NA,NA,NA,0
"FLJ13224",1,NA,NA,NA,0
"ENTPD8",1,NA,NA,NA,0
"GPR25",1,1,NA,NA,0
"KRTAP12-1",1,1,NA,NA,0
"TMEM102",1,NA,NA,NA,0
"STK32C",1,NA,NA,NA,0
"MRGPRX1",1,NA,NA,NA,0
"LCE1C",1,-1,NA,NA,1
"B3GALT6",1,NA,NA,NA,0
"CYP8B1",1,NA,NA,NA,0
"HSD11B1L",1,NA,NA,NA,0
"KRTAP2-3",1,-1,NA,NA,1
"RYR1",1,NA,NA,NA,0
"LOC100652777",1,NA,NA,NA,0
"LOC107985911",1,NA,NA,NA,0
"LINC02396",1,NA,NA,NA,0
"MC5R",1,NA,NA,NA,0
"LOC112268130",1,NA,NA,NA,0
"RIN1",1,NA,NA,NA,0
"MOGAT3",1,NA,NA,NA,0
"NSUN5",1,NA,NA,NA,0
"TRIL",1,NA,NA,NA,0
"TRIM54",1,NA,NA,NA,0
"LOC649352",1,NA,NA,NA,0
"TSPYL6",1,NA,NA,NA,0
"MAGEA9B",1,NA,-1,NA,1
"PIN4P1",1,NA,NA,NA,0
"ACKR1",1,NA,NA,NA,0
"S1PR4",1,NA,NA,NA,0
"GPR146",1,NA,NA,NA,0
"MFSD6L",1,NA,NA,NA,0
