"","study_1","study_2","study_3","study_4"
"SYNJ2-IT1",1,0,0,0
"ERVV-1",1,0,0,0
"KRTAP2-4",1,0,0,0
"ACTL7A",1,0,0,0
"CFAP144P1",1,0,0,0
"CXCR2P1",1,0,0,0
"OR1F1",1,0,0,0
"HMGB3P1",1,0,0,0
"TSSK1B",1,0,0,0
"CLDN24",1,0,0,0
"OR2AE1",1,0,0,0
"GH1",1,0,0,0
"RPRM",1,0,0,0
"KIF5A",0.617988307121335,0,0.786187288285245,0
"ADM5",1,0,0,0
"KRT33A",1,0,0,0
"CABP7",1,0,0,0
"LOC112694756",1,0,0,0
"RTBDN",1,0,0,0
"RLN2",1,0,0,0
"IRF2BP1",1,0,0,0
"SNORA70H",1,0,0,0
"GPR119",1,0,0,0
"RBFOX3",1,0,0,0
"GOLGA8N",1,0,0,0
"KIAA1671-AS1",1,0,0,0
"MAS1L",1,0,0,0
"SUMO1P1",1,0,0,0
"IGF2",1,0,0,0
"9220",1,0,0,0
"SNRPD2P2",1,0,0,0
"H3-7",1,0,0,0
"UBL7-DT",1,0,0,0
"KRTAP4-12",1,0,0,0
"LOC100128770",1,0,0,0
"GAPDHS",1,0,0,0
"RNASE8",0.617988307121335,0,0.786187288285245,0
"ST13P4",1,0,0,0
"OR2T34",1,0,0,0
"BIN3-IT1",1,0,0,0
"INHBE",1,0,0,0
"LOC105378691",1,0,0,0
"LINC00852",1,0,0,0
"LINC01144",1,0,0,0
"CATSPERD",1,0,0,0
"OR2T3",1,0,0,0
"HDGFL1",1,0,0,0
"PKDREJ",1,0,0,0
"CLDN25",1,0,0,0
"FOXR2",1,0,0,0
"SEPTIN12",1,0,0,0
"DCAF12L1",1,0,0,0
"POU5F1B",1,0,0,0
"B4GALNT1",1,0,0,0
"AGRP",1,0,0,0
"OR1I1",1,0,0,0
"MARK2P21",1,0,0,0
"RPL29P2",1,0,0,0
"DPH3P1",1,0,0,0
"MIR6850",1,0,0,0
"OR1F2P",1,0,0,0
"FAM181B",1,0,0,0
"KCNE5",1,0,0,0
"HASPIN",1,0,0,0
"LRRC74B",0.742108238521282,0.670280062599836,0,0
"WBP11P1",1,0,0,0
"DNAH17-AS1",1,0,0,0
"NHLRC1",1,0,0,0
"FRAT1",1,0,0,0
"FOXG1",1,0,0,0
"GPR152",1,0,0,0
"MAN1B1-DT",1,0,0,0
"EXOC3L1",1,0,0,0
"MGC12916",1,0,0,0
"CCDC27",1,0,0,0
"C1RL-AS1",1,0,0,0
"FBXL6",1,0,0,0
"MIR4713HG",1,0,0,0
"KCNA10",1,0,0,0
"IGBP1P1",1,0,0,0
"ADAM11",1,0,0,0
"WDR5CP",1,0,0,0
"ZNHIT2",1,0,0,0
"OR2V2",1,0,0,0
"MKRN9P",1,0,0,0
"ZMYND15",1,0,0,0
"LOC105375313",1,0,0,0
"UFD1-AS1",1,0,0,0
"LOC100130992",1,0,0,0
"PRECSIT",1,0,0,0
"PPP1R2C",1,0,0,0
"DNM1P41",1,0,0,0
"H1-6",1,0,0,0
"AMIGO3",1,0,0,0
"HSD3BP4",1,0,0,0
"SELENOKP3",1,0,0,0
"OR10P1",1,0,0,0
"LIN37",1,0,0,0
"CDRT15",1,0,0,0
"NKAPL",1,0,0,0
"C8G",1,0,0,0
"APOM",1,0,0,0
"ACER1",1,0,0,0
"KRTAP1-5",1,0,0,0
"PRG1",1,0,0,0
"OR7C2",1,0,0,0
"H2AP",1,0,0,0
"KRT34",1,0,0,0
"SLITRK1",1,0,0,0
"GNB3",0.742108238521282,0.670280062599836,0,0
"LOC100289511",1,0,0,0
"WFDC12",1,0,0,0
"LOC100240734",1,0,0,0
"PCK1",1,0,0,0
"HHATL",0.742108238521282,0.670280062599836,0,0
"CCDC184",1,0,0,0
"LINC01777",1,0,0,0
"LOC105376447",1,0,0,0
"OR5AU1",1,0,0,0
"UBE2L5",1,0,0,0
"KBTBD11-AS1",1,0,0,0
"MLC1",1,0,0,0
"GRID2IP",1,0,0,0
"FAM99A",1,0,0,0
"LINC00244",1,0,0,0
"SPATA31A6",1,0,0,0
"HES5",1,0,0,0
"ABCG4",1,0,0,0
"USHBP1",1,0,0,0
"LINC00460",1,0,0,0
"CLPS",1,0,0,0
"TFAP2A-AS1",1,0,0,0
"GAMT",1,0,0,0
"ENTPD2",0.742108238521282,0.670280062599836,0,0
"OR4D2",1,0,0,0
"GOLGA6L22",1,0,0,0
"MAGEA3",1,0,0,0
"DRD1",1,0,0,0
"ARAP3",1,0,0,0
"ITPRIP",1,0,0,0
"INSM2",1,0,0,0
"105379215",1,0,0,0
"PAQR9",1,0,0,0
"C3orf80",1,0,0,0
"GOLGA8DP",1,0,0,0
"OR7C1",1,0,0,0
"LOC100506472",1,0,0,0
"IL25",0.742108238521282,0.670280062599836,0,0
"EIF2S3B",1,0,0,0
"H2BC1",1,0,0,0
"NR2C2AP",1,0,0,0
"HTR6",1,0,0,0
"PRM2",1,0,0,0
"GMCL2",1,0,0,0
"OR3A4P",1,0,0,0
"CDCA5",1,0,0,0
"PRR23A",1,0,0,0
"TKTL2",1,0,0,0
"LINC00226",1,0,0,0
"CATSPER4",1,0,0,0
"OR2T27",1,0,0,0
"KRTAP4-4",1,0,0,0
"FAM86B2",1,0,0,0
"MOS",1,0,0,0
"OR51D1",1,0,0,0
"CSAG3",0.53961814226692,0.487388851657797,0.686486975707545,0
"FKSG29",1,0,0,0
"TEX13B",1,0,0,0
"KDM4E",0.742108238521282,0.670280062599836,0,0
"VSIG8",0.742108238521282,0.670280062599836,0,0
"IFNL1",1,0,0,0
"OC90",1,0,0,0
"FBLL1",1,0,0,0
"OR1B1",0.742108238521282,0.670280062599836,0,0
"OR10S1",1,0,0,0
"VSTM1",1,0,0,0
"C22orf39",1,0,0,0
"OR2S2",1,0,0,0
"CCDC194",1,0,0,0
"LLGL2",1,0,0,0
"OR2B11",1,0,0,0
"RBMXL2",1,0,0,0
"GEMIN8P4",1,0,0,0
"LINC02902",1,0,0,0
"LOC646903",1,0,0,0
"ANP32AP1",1,0,0,0
"MATN4",1,0,0,0
"LIME1",1,0,0,0
"LRRC37A6P",1,0,0,0
"ZPR1",1,0,0,0
"OR9A2",1,0,0,0
"H2AC1",1,0,0,0
"KRT9",1,0,0,0
"CCDC185",0.742108238521282,0.670280062599836,0,0
"MIR3171HG",1,0,0,0
"OR6S1",0.617988307121335,0,0.786187288285245,0
"PIN1P1",1,0,0,0
"PLXNB3",0.742108238521282,0.670280062599836,0,0
"CAMSAP3",1,0,0,0
"KRTAP10-3",1,0,0,0
"DOLK",1,0,0,0
"MT1IP",1,0,0,0
"KRTAP4-11",1,0,0,0
"PDCD4-AS1",1,0,0,0
"VENTXP1",1,0,0,0
"APOL2",1,0,0,0
"SLC25A45",1,0,0,0
"ATOH7",1,0,0,0
"E4F1",1,0,0,0
"LOC107986794",1,0,0,0
"ATP5MGL",1,0,0,0
"IFITM4P",1,0,0,0
"OR6W1P",1,0,0,0
"ZCCHC13",1,0,0,0
"FBXO41",1,0,0,0
"IER5L",1,0,0,0
"PYGM",1,0,0,0
"H3-5",1,0,0,0
"VENTXP7",1,0,0,0
"SDC4P",1,0,0,0
"NKAIN4",0.742108238521282,0.670280062599836,0,0
"VHLL",0.742108238521282,0.670280062599836,0,0
"SNORA70D",1,0,0,0
"PNCK",0.742108238521282,0.670280062599836,0,0
"DAB2IP",1,0,0,0
"SNORA30",1,0,0,0
"KRTAP23-1",0.742108238521282,0.670280062599836,0,0
"C3orf22",1,0,0,0
"CCNE1",1,0,0,0
"PABPC1L2A",1,0,0,0
"OR10G8",1,0,0,0
"OR2T2",1,0,0,0
"LRRC30",1,0,0,0
"OR2Y1",1,0,0,0
"OR7G2",1,0,0,0
"KRTAP4-6",1,0,0,0
"MIR6859-1",1,0,0,0
"LYZL4",0.617988307121335,0,0.786187288285245,0
"KLHDC8A",1,0,0,0
"HNRNPA3P1",1,0,0,0
"GPR101",1,0,0,0
"TEDC2-AS1",1,0,0,0
"PARTICL",1,0,0,0
"APCS",1,0,0,0
"HES2",1,0,0,0
"LINC00115",1,0,0,0
"CSH1",0.742108238521282,0.670280062599836,0,0
"OR52K2",1,0,0,0
"ERICH4",1,0,0,0
"SLC20A1-DT",1,0,0,0
"OR2W3",1,0,0,0
"H4C7",1,0,0,0
"TAS2R60",1,0,0,0
"CCDC106",1,0,0,0
"TAS2R40",1,0,0,0
"SLC9A7P1",1,0,0,0
"SDCBP2",1,0,0,0
"CIBAR1P2",1,0,0,0
"GGT2P",1,0,0,0
"FKBP1A-SDCBP2",1,0,0,0
"OR10C1",1,0,0,0
"OR10G9",1,0,0,0
"USP17L6P",1,0,0,0
"KRTAP2-1",1,0,0,0
"BARX1",1,0,0,0
"FFAR3",0.617988307121335,0,0.786187288285245,0
"ANP32D",1,0,0,0
"TMEM191C",1,0,0,0
"AKR7A2P1",1,0,0,0
"DDX41",1,0,0,0
"DUSP21",1,0,0,0
"LINC00494",1,0,0,0
"HSD17B1-AS1",1,0,0,0
"TMEM200C",1,0,0,0
"DCAF8L2",1,0,0,0
"MTRNR2L4",1,0,0,0
"HSD17B1",1,0,0,0
"VN1R4",1,0,0,0
"SARS2",1,0,0,0
"KRT10",1,0,0,0
"CALML3",0.742108238521282,0.670280062599836,0,0
"SPDYE1",1,0,0,0
"LOC105379476",1,0,0,0
"SLC16A8",1,0,0,0
"MIR600HG",1,0,0,0
"ZNF534",1,0,0,0
"OR1L6",1,0,0,0
"GRK6P1",1,0,0,0
"NUP210L",1,0,0,0
"MIR6859-3",1,0,0,0
"FAM47B",1,0,0,0
"LOC105372842",1,0,0,0
"OR52I2",1,0,0,0
"LOC100996662",1,0,0,0
"RPL13P5",1,0,0,0
"TMEM262",1,0,0,0
"ACBD4",1,0,0,0
"RTEL1-TNFRSF6B",1,0,0,0
"SEMA7A",1,0,0,0
"LINC02113",1,0,0,0
"OR4D5",1,0,0,0
"OR52N2",1,0,0,0
"DDI1",1,0,0,0
"YBX3P1",1,0,0,0
"C17orf100",1,0,0,0
"DLG5-AS1",1,0,0,0
"PRAM1",1,0,0,0
"RNF26",1,0,0,0
"TRAPPC14",1,0,0,0
"PITPNM2",1,0,0,0
"PPP1R13B-DT",1,0,0,0
"LINC02280",1,0,0,0
"MAGEE2",1,0,0,0
"OR7D4",1,0,0,0
"POU5F1P3",1,0,0,0
"TAS2R38",1,0,0,0
"RAC3",1,0,0,0
"ICAM4",1,0,0,0
"OR6F1",1,0,0,0
"HCG4B",1,0,0,0
"RPL23AP64",1,0,0,0
"LINC03027",1,0,0,0
"PIGW",1,0,0,0
"LOC105378347",1,0,0,0
"POM121L12",1,0,0,0
"KRTAP4-5",1,0,0,0
"SLC25A2",1,0,0,0
"MSX2P1",1,0,0,0
"DND1",1,0,0,0
"LCE1A",1,0,0,0
"AA06",1,0,0,0
"PPM1N",1,0,0,0
"ALPG",1,0,0,0
"SNORA71E",1,0,0,0
"NACA4P",1,0,0,0
"B3GAT1",1,0,0,0
"THOC6",1,0,0,0
"PIF1",1,0,0,0
"KRTAP1-1",1,0,0,0
"OR1N2",1,0,0,0
"CHRNA7",1,0,0,0
"PPP3R2",1,0,0,0
"SOWAHB",1,0,0,0
"PWRN2",1,0,0,0
"SCN3B",1,0,0,0
"DHRS2",1,0,0,0
"CALML3-AS1",1,0,0,0
"MAGEB4",1,0,0,0
"LY6G5B",1,0,0,0
"MIR4658",1,0,0,0
"RPH3A",1,0,0,0
"DOCK8-AS1",1,0,0,0
"BCAR3-AS1",1,0,0,0
"PCDHB11",1,0,0,0
"APBB1",1,0,0,0
"MSTO2P",1,0,0,0
"TBC1D26-AS1",1,0,0,0
"HSD3B1",1,0,0,0
"LOC105378433",1,0,0,0
"RACGAP1P1",1,0,0,0
"GTSE1",1,0,0,0
"PISRT1",1,0,0,0
"OR4S1",1,0,0,0
"FAM180B",1,0,0,0
"SNORD15B",1,0,0,0
"ZNF526",1,0,0,0
"LOC100130673",1,0,0,0
"MGC2889",1,0,0,0
"OR5B21",1,0,0,0
"IL24",1,0,0,0
"LOC728739",1,0,0,0
"NTN5",1,0,0,0
"LOC643406",1,0,0,0
"OR9I1",1,0,0,0
"RADIL",1,0,0,0
"OR3A1",1,0,0,0
"SPATA31A3",1,0,0,0
"RSPO1",1,0,0,0
"SDHAF1",1,0,0,0
"PNMT",1,0,0,0
"IL36RN",0.742108238521282,0.670280062599836,0,0
"GALP",0.742108238521282,0.670280062599836,0,0
"SPATA31A7",0.742108238521282,0.670280062599836,0,0
"MRGPRX4",1,0,0,0
"LOC100132062",1,0,0,0
"POM121L8P",1,0,0,0
"RPL13AP3",1,0,0,0
"OR52B2",1,0,0,0
"IFT122P3",1,0,0,0
"DCAF4L2",1,0,0,0
"LOC100272217",1,0,0,0
"CDRT15P3",1,0,0,0
"283174",1,0,0,0
"RNF5P1",1,0,0,0
"OR2T1",1,0,0,0
"HPYR1",1,0,0,0
"ZGLP1",0.617988307121335,0,0.786187288285245,0
"LOC101929599",1,0,0,0
"SLC25A51P1",1,0,0,0
"KRTAP4-8",1,0,0,0
"PCDHB18P",1,0,0,0
"SLC7A10",1,0,0,0
"OR4C46",1,0,0,0
"OR1G1",1,0,0,0
"CHRNG",1,0,0,0
"MYH7",1,0,0,0
"DRD5P2",1,0,0,0
"CEACAM18",1,0,0,0
"SIGLEC8",1,0,0,0
"OR2T12",1,0,0,0
"LSP1P4",1,0,0,0
"ERC2-IT1",1,0,0,0
"SNAPC2",1,0,0,0
"ALDOA",0.589094188963293,0,0,0.808064376476083
"INAFM1",1,0,0,0
"NR1I2",1,0,0,0
"LILRA1",1,0,0,0
"CXorf65",1,0,0,0
"AWAT1",1,0,0,0
"SSX5",0.742108238521282,0.670280062599836,0,0
"SLC4A1",1,0,0,0
"ACTBL2",1,0,0,0
"LOC107985079",1,0,0,0
"SPHK1",1,0,0,0
"APOBR",1,0,0,0
"NEURL4",1,0,0,0
"ARHGAP36",1,0,0,0
"TEAD3",1,0,0,0
"OR10G3",1,0,0,0
"SLC34A1",0.742108238521282,0.670280062599836,0,0
"OR5P3",0.617988307121335,0,0.786187288285245,0
"RPAP3-DT",1,0,0,0
"LOC148696",1,0,0,0
"ATP2A1",1,0,0,0
"CRIP3",1,0,0,0
"LLGL1",0.742108238521282,0.670280062599836,0,0
"LOC105378590",1,0,0,0
"DCAF12L2",1,0,0,0
"RPS26P11",1,0,0,0
"ZNF414",1,0,0,0
"LMNTD2",1,0,0,0
"TMEM191B",1,0,0,0
"RASAL2-AS1",1,0,0,0
"LOC101060524",1,0,0,0
"MAGEE1",1,0,0,0
"KMT2B",1,0,0,0
"ACTG1P20",1,0,0,0
"RIMBP3B",0.742108238521282,0.670280062599836,0,0
"KIF9-AS1",1,0,0,0
"KCND1",1,0,0,0
"ZNF80",1,0,0,0
"LINC01721",1,0,0,0
"IZUMO4",1,0,0,0
"LOC105378106",1,0,0,0
"PECAM1",0.617988307121335,0,0.786187288285245,0
"HIRIP3",1,0,0,0
"TMEM270",0.742108238521282,0.670280062599836,0,0
"MIR6859-4",1,0,0,0
"107986532",1,0,0,0
"PSRC1",1,0,0,0
"CHST12",1,0,0,0
"TGM7",0.617988307121335,0,0.786187288285245,0
"LOC107987137",1,0,0,0
"OR1D5",1,0,0,0
"STAR",1,0,0,0
"RNASE10",1,0,0,0
"OR8A1",1,0,0,0
"ATXN3L",1,0,0,0
"SPDYE2",1,0,0,0
"MTRNR2L10",1,0,0,0
"112268188",1,0,0,0
"CTSV",1,0,0,0
"SNORA36C",1,0,0,0
"KRTAP4-7",0.742108238521282,0.670280062599836,0,0
"S100A8",1,0,0,0
"SLC29A4",1,0,0,0
"KRTAP5-1",0.742108238521282,0.670280062599836,0,0
"THPO",1,0,0,0
"PCDHB1",1,0,0,0
"LIPE-AS1",1,0,0,0
"FAM99B",1,0,0,0
"ADAM30",1,0,0,0
"OBP2A",1,0,0,0
"PERM1",1,0,0,0
"OR10G7",1,0,0,0
"OR8B8",1,0,0,0
"LINC02802",1,0,0,0
"LRRC2-AS1",1,0,0,0
"LOC100652833",1,0,0,0
"TEN1-CDK3",1,0,0,0
"OR2H2",1,0,0,0
"GOLGA8CP",1,0,0,0
"INPP5J",0.617988307121335,0,0.786187288285245,0
"ARIH2OS",1,0,0,0
"TAAR5",1,0,0,0
"LINC01456",1,0,0,0
"OR2T35",1,0,0,0
"TMEM147-AS1",1,0,0,0
"ZNF687",1,0,0,0
"NEUROG3",0.742108238521282,0.670280062599836,0,0
"BRD1",1,0,0,0
"SLC22A14",1,0,0,0
"BFSP2-AS1",1,0,0,0
"C6orf226",1,0,0,0
"LINC00518",1,0,0,0
"HGH1",1,0,0,0
"OR7G1",1,0,0,0
"POU3F2",1,0,0,0
"SLC2A5",1,0,0,0
"LINC01500",1,0,0,0
"SPATA31C2",1,0,0,0
"TRIM65",1,0,0,0
"MIR6859-2",1,0,0,0
"KRT78",0.742108238521282,0.670280062599836,0,0
"LOC112267855",1,0,0,0
"DDX53",0.742108238521282,0.670280062599836,0,0
"EVI5L",1,0,0,0
"DGCR11",1,0,0,0
"GPR27",1,0,0,0
"LINC00934",1,0,0,0
"KIF2B",1,0,0,0
"PPIAL4E",1,0,0,0
"KRTAP11-1",0.617988307121335,0,0.786187288285245,0
"OR10A3",1,0,0,0
"CRIPTO3",1,0,0,0
"DNAJC4",1,0,0,0
"OR10J1",0.742108238521282,0.670280062599836,0,0
"VN1R5",1,0,0,0
"OR2T4",1,0,0,0
"ASCL4",1,0,0,0
"IRS4",1,0,0,0
"ACTRT1",1,0,0,0
"FUT3",1,0,0,0
"LOC100507547",1,0,0,0
"FHL3",1,0,0,0
"UBE2DNL",1,0,0,0
"VN1R2",1,0,0,0
"PCDHB13",1,0,0,0
"REEP4",1,0,0,0
"KRTAP5-2",1,0,0,0
"MSI1",0.742108238521282,0.670280062599836,0,0
"CLCN6",1,0,0,0
"PAX6-AS1",1,0,0,0
"KRTAP9-3",1,0,0,0
"LINC01915",1,0,0,0
"CLCN1",1,0,0,0
"KRTAP5-AS1",1,0,0,0
"TAS2R39",1,0,0,0
"C6orf141",1,0,0,0
"LOC107984334",1,0,0,0
"OR1A2",1,0,0,0
"CARD14",1,0,0,0
"HK3",1,0,0,0
"105373184",1,0,0,0
"MAGEB3",1,0,0,0
"ATP1A1-AS1",1,0,0,0
"KIF4B",1,0,0,0
"LTK",1,0,0,0
"TCL6",1,0,0,0
"PURG",1,0,0,0
"101928841",1,0,0,0
"DNASE1",1,0,0,0
"OR13H1",1,0,0,0
"105373534",1,0,0,0
"RNF222",1,0,0,0
"FCSK",1,0,0,0
"ADGRB2",1,0,0,0
"RNF112",0.742108238521282,0.670280062599836,0,0
"TKFC",1,0,0,0
"SH3GL1P1",1,0,0,0
"HES4",1,0,0,0
"ACD",1,0,0,0
"NANOS1",1,0,0,0
"ANXA2R",1,0,0,0
"ABCG8",1,0,0,0
"IGSF22",1,0,0,0
"GSTM2P1",1,0,0,0
"OR52K1",1,0,0,0
"OR51B6",1,0,0,0
"PCP2",0.53961814226692,0.487388851657797,0.686486975707545,0
"SLED1",1,0,0,0
"PPP2R3B",1,0,0,0
"PPIAL4G",1,0,0,0
"KRTAP1-3",0.742108238521282,0.670280062599836,0,0
"OR1L3",1,0,0,0
"OR51M1",1,0,0,0
"OR8B4",1,0,0,0
"DGKQ",1,0,0,0
"LOC107986306",1,0,0,0
"RNASE11-AS1",1,0,0,0
"SNORA56",1,0,0,0
"GRIN2D",1,0,0,0
"OR10V1",0.742108238521282,0.670280062599836,0,0
"SCP2D1",1,0,0,0
"USP27X",1,0,0,0
"CDK16",1,0,0,0
"OR52I1",1,0,0,0
"LILRA2",0.742108238521282,0.670280062599836,0,0
"LOC107986549",1,0,0,0
"MT1HL1",0.617988307121335,0,0.786187288285245,0
"LOC649133",1,0,0,0
"OR1L1",1,0,0,0
"OR11H4",1,0,0,0
"MIR5689HG",1,0,0,0
"PCDHB2",1,0,0,0
"ZNF566-AS1",1,0,0,0
"APOF",1,0,0,0
"SNORA12",1,0,0,0
"MYL10",1,0,0,0
"PPIAL4D",1,0,0,0
"OR2AT4",1,0,0,0
"CTAGE11P",1,0,0,0
"TGIF2LX",1,0,0,0
"USP17L18",1,0,0,0
"OR4X1",1,0,0,0
"ADGRE1",1,0,0,0
"RNU12",1,0,0,0
"HAUS8",1,0,0,0
"OR6X1",1,0,0,0
"IQCC",1,0,0,0
"MTRNR2L3",1,0,0,0
"IQCF1",1,0,0,0
"OR2A25",1,0,0,0
"OR1N1",1,0,0,0
"PGBP",1,0,0,0
"SLC25A52",1,0,0,0
"HCAR1",1,0,0,0
"ALS2CL",1,0,0,0
"FZD2",1,0,0,0
"TP53TG5",1,0,0,0
"LCE5A",1,0,0,0
"FOXC2",1,0,0,0
"RNASE12",1,0,0,0
"FOXO3B",1,0,0,0
"TBCC",1,0,0,0
"OR10G4",1,0,0,0
"LOC105369631",1,0,0,0
"MSGN1",0.617988307121335,0,0.786187288285245,0
"OR11L1",1,0,0,0
"KRTAP3-1",1,0,0,0
"ANKRD13B",1,0,0,0
"OR4C3",1,0,0,0
"OR1L4",1,0,0,0
"OR6Q1",1,0,0,0
"CCDC142",1,0,0,0
"OR7E24",0.742108238521282,0.670280062599836,0,0
"ASTN2-AS1",1,0,0,0
"ANXA2R-OT1",1,0,0,0
"CCDC183-AS1",1,0,0,0
"FOXS1",1,0,0,0
"OR6N1",1,0,0,0
"CDRT7",1,0,0,0
"TM4SF5",1,0,0,0
"RNASE2CP",1,0,0,0
"AQP7P1",1,0,0,0
"OR5AN1",1,0,0,0
"OR2T11",1,0,0,0
"PPP4R3C",1,0,0,0
"OR6T1",1,0,0,0
"CYP4F12",1,0,0,0
"ARL14",0.589094188963293,0,0,0.808064376476083
"SKP1P2",1,0,0,0
"OR2T33",1,0,0,0
"DPEP2",1,0,0,0
"TNNC1",1,0,0,0
"OR7G3",1,0,0,0
"REG1CP",1,0,0,0
"OR9Q2",0.742108238521282,0.670280062599836,0,0
"GJA10",1,0,0,0
"LOC105378563",1,0,0,0
"FSCB",1,0,0,0
"MIR4649",1,0,0,0
"105375560",1,0,0,0
"PAPOLB",1,0,0,0
"CBLL2",1,0,0,0
"OR4D6",0.617988307121335,0,0.786187288285245,0
"OR5A2",1,0,0,0
"CYP17A1",1,0,0,0
"GABRB1",1,0,0,0
"FOXB1",1,0,0,0
"FANCE",1,0,0,0
"AQP7",1,0,0,0
"OR1J4",0.53961814226692,0.487388851657797,0.686486975707545,0
"C9orf43",1,0,0,0
"FJX1",1,0,0,0
"OR4F21",0.742108238521282,0.670280062599836,0,0
"RNF113B",1,0,0,0
"LINC02908",1,0,0,0
"LOC112268295",1,0,0,0
"MIA2-AS1",1,0,0,0
"KAAG1",1,0,0,0
"MIR6788",1,0,0,0
"LOC107986056",1,0,0,0
"CDRT15P1",1,0,0,0
"MAGEB2",1,0,0,0
"OR4A47",1,0,0,0
"PPIAL4F",1,0,0,0
"LOC105376333",1,0,0,0
"OR56B4",1,0,0,0
"MTMR11",1,0,0,0
"ELANE",1,0,0,0
"YDJC",1,0,0,0
"ACCSL",1,0,0,0
"PPIAL4C",1,0,0,0
"OR2AG2",1,0,0,0
"HYLS1",1,0,0,0
"OR2A12",1,0,0,0
"LOC105371894",1,0,0,0
"PLD2",1,0,0,0
"NOL6",0.617988307121335,0,0.786187288285245,0
"ADGRG5",1,0,0,0
"EHMT1",1,0,0,0
"HIPK1-AS1",1,0,0,0
"GUSBP5",1,0,0,0
"MSTO1",1,0,0,0
"TAL2",1,0,0,0
"HRCT1",1,0,0,0
"OR4D9",1,0,0,0
"CCDC163",1,0,0,0
"LINC02893",1,0,0,0
"OR1J1",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"NFYCP2",1,0,0,0
"SPEM1",1,0,0,0
"MIR4683",1,0,0,0
"LINC01963",1,0,0,0
"OR4D10",0.589094188963293,0,0,0.808064376476083
"LOC105371912",1,0,0,0
"KRTAP19-2",1,0,0,0
"FZD8",1,0,0,0
"LOC105371712",1,0,0,0
"ZNF143-AS1",1,0,0,0
"BLACE",1,0,0,0
"NTSR2",1,0,0,0
"MYBPC3",1,0,0,0
"KRTAP4-1",1,0,0,0
"EIF3I",1,0,0,0
"KRTAP4-2",1,0,0,0
"PPY2P",1,0,0,0
"C8orf74",0.742108238521282,0.670280062599836,0,0
"TAAR3P",1,0,0,0
"KRT39",1,0,0,0
"TEX48",1,0,0,0
"IL23A",1,0,0,0
"OR1D4",1,0,0,0
"OR10H3",1,0,0,0
"RPL19P12",1,0,0,0
"USP17L10",1,0,0,0
"OR56B1",0.742108238521282,0.670280062599836,0,0
"CLC",1,0,0,0
"CCDC54",1,0,0,0
"KRTAP9-4",1,0,0,0
"LINC02909",1,0,0,0
"USP17L19",1,0,0,0
"CCDC8",1,0,0,0
"LOC100128361",1,0,0,0
"MLST8",1,0,0,0
"OR51Q1",1,0,0,0
"HTR1B",1,0,0,0
"OR10H4",1,0,0,0
"OR5AP2",1,0,0,0
"TAPBP",1,0,0,0
"RBBP8NL",1,0,0,0
"HRH3",1,0,0,0
"CXCR2",0.617988307121335,0,0.786187288285245,0
"OR9A4",1,0,0,0
"OR8B2",1,0,0,0
"NRXN2-AS1",1,0,0,0
"ARMC5",1,0,0,0
"OR10AD1",0.742108238521282,0.670280062599836,0,0
"OR1Q1",0.742108238521282,0.670280062599836,0,0
"OR56A5",1,0,0,0
"PLB1",1,0,0,0
"LOC643339",1,0,0,0
"TRAM1L1",1,0,0,0
"NAT8B",1,0,0,0
"CGB8",0.742108238521282,0.670280062599836,0,0
"LOC105371493",1,0,0,0
"CTNNA3",1,0,0,0
"OR4F16",1,0,0,0
"GUSBP19",1,0,0,0
"MKRN10P",1,0,0,0
"OR1S1",1,0,0,0
"SIRT6",1,0,0,0
"PCDHB16",1,0,0,0
"OR1C1",1,0,0,0
"OR52H1",1,0,0,0
"OR2W5P",1,0,0,0
"OR2F1",1,0,0,0
"H2AJ",1,0,0,0
"TWNK",1,0,0,0
"OR52L1",1,0,0,0
"CAHM",1,0,0,0
"LINC00526",1,0,0,0
"PABPC1L2B",1,0,0,0
"LINC02878",1,0,0,0
"APOOP5",1,0,0,0
"SPDYE18",1,0,0,0
"TNNT1",0.742108238521282,0.670280062599836,0,0
"RPL21P28",1,0,0,0
"APOC1P1",1,0,0,0
"SLC24A4",1,0,0,0
"TIFAB",1,0,0,0
"LINC02418",1,0,0,0
"LOC653653",1,0,0,0
"ENO3",1,0,0,0
"NUDT9P1",1,0,0,0
"GLYCAM1",1,0,0,0
"ZG16",0.742108238521282,0.670280062599836,0,0
"OR51I1",0.742108238521282,0.670280062599836,0,0
"GALK1",1,0,0,0
"LOC100130357",1,0,0,0
"SNORA70C",1,0,0,0
"MTX1",1,0,0,0
"USP17L12",1,0,0,0
"OR2K2",1,0,0,0
"MYL4",1,0,0,0
"OR2T6",1,0,0,0
"FDPSP2",1,0,0,0
"LOC105374121",1,0,0,0
"OR10Q1",0.617988307121335,0,0.786187288285245,0
"ZNF578",1,0,0,0
"LOC100289361",1,0,0,0
"NDOR1",1,0,0,0
"EBLN1",0.742108238521282,0.670280062599836,0,0
"GPHA2",1,0,0,0
"OR4F6",1,0,0,0
"MC3R",1,0,0,0
"CGB2",0.742108238521282,0.670280062599836,0,0
"CYP4F30P",1,0,0,0
"OR4F3",1,0,0,0
"DOC2GP",1,0,0,0
"OR6K6",1,0,0,0
"C1QTNF8",0.742108238521282,0.670280062599836,0,0
"YY1P2",1,0,0,0
"KRT31",1,0,0,0
"MADD",1,0,0,0
"RAET1L",1,0,0,0
"OR10G2",1,0,0,0
"TAAR8",1,0,0,0
"SOX12",1,0,0,0
"GPR151",1,0,0,0
